,name,category,brand,price,stock,rating
154,ZTE Axon 40 Ultra,Smartphone,ZTE,599,15,4.3
155,ZTE Axon 50 Ultra,Smartphone,ZTE,699,12,4.5
156,ZTE Axon 60 Ultra,Smartphone,ZTE,799,10,4.6
157,MacBook Air M1,Laptop,Apple,799,15,4.7
158,MacBook Air M2,Laptop,Apple,999,12,4.8
159,MacBook Air M3,Laptop,Apple,1099,10,4.9
160,MacBook Pro M3,Laptop,Apple,1599,8,4.9
161,MacBook Pro M4,Laptop,Apple,1999,6,4.9
162,Dell Inspiron 15,Laptop,Dell,699,20,4.3
163,Dell Inspiron 16,Laptop,Dell,799,15,4.4
164,Dell XPS 13,Laptop,Dell,999,12,4.6
165,Dell XPS 15,Laptop,Dell,1499,8,4.7
166,Dell XPS 17,Laptop,Dell,1799,6,4.8
167,HP Pavilion 15,Laptop,HP,649,20,4.2
168,HP Pavilion 16,Laptop,HP,749,18,4.3
169,HP Envy 13,Laptop,HP,899,12,4.5
170,HP Envy 16,Laptop,HP,1199,10,4.6
171,HP Spectre x360,Laptop,HP,1399,7,4.7
172,Lenovo IdeaPad 3,Laptop,Lenovo,499,25,4.2
173,Lenovo IdeaPad 5,Laptop,Lenovo,649,20,4.4
174,Lenovo ThinkPad E14,Laptop,Lenovo,799,15,4.5
175,Lenovo ThinkPad T14,Laptop,Lenovo,1199,10,4.7
176,Lenovo Legion 5,Laptop,Lenovo,1299,12,4.7
177,Lenovo Legion 7,Laptop,Lenovo,1799,7,4.8
178,ASUS VivoBook 15,Laptop,ASUS,599,20,4.3
179,ASUS VivoBook 16,Laptop,ASUS,699,18,4.4
180,ASUS ZenBook 14,Laptop,ASUS,999,12,4.6
181,ASUS ROG Strix G16,Laptop,ASUS,1499,8,4.8
182,ASUS TUF Gaming F15,Laptop,ASUS,999,15,4.6
183,Acer Aspire 5,Laptop,Acer,499,25,4.2
184,Acer Aspire 7,Laptop,Acer,699,20,4.4
185,Acer Swift 3,Laptop,Acer,749,18,4.5
186,Acer Nitro 5,Laptop,Acer,899,15,4.6
187,Acer Nitro V,Laptop,Acer,999,12,4.7
188,Acer Predator Helios,Laptop,Acer,1599,7,4.8
189,iPad 10,Tablet,Apple,449,20,4.6
190,iPad Air,Tablet,Apple,599,18,4.7
191,iPad Air M2,Tablet,Apple,699,15,4.8
192,iPad Pro 11,Tablet,Apple,999,10,4.9
193,iPad Pro 13,Tablet,Apple,1299,7,4.9
194,Galaxy Tab A9,Tablet,Samsung,199,30,4.3
195,Galaxy Tab S8,Tablet,Samsung,599,15,4.6
196,Galaxy Tab S9,Tablet,Samsung,699,12,4.7
197,Galaxy Tab S9 Plus,Tablet,Samsung,899,10,4.8
198,Galaxy Tab S9 Ultra,Tablet,Samsung,1199,7,4.9
199,Xiaomi Pad 6,Tablet,Xiaomi,399,20,4.6
200,Xiaomi Pad 6 Pro,Tablet,Xiaomi,499,15,4.7
201,Xiaomi Pad 7,Tablet,Xiaomi,549,18,4.8
202,Lenovo Tab M10,Tablet,Lenovo,199,25,4.2
203,Lenovo Tab M11,Tablet,Lenovo,249,22,4.3
204,Lenovo Tab P11,Tablet,Lenovo,349,18,4.5
205,Lenovo Tab P12,Tablet,Lenovo,449,15,4.6
206,Apple Watch SE,Smartwatch,Apple,249,20,4.5
207,Apple Watch Series 9,Smartwatch,Apple,399,18,4.7
208,Apple Watch Series 10,Smartwatch,Apple,449,15,4.8
209,Apple Watch Ultra 2,Smartwatch,Apple,799,8,4.9
210,Galaxy Watch 6,Smartwatch,Samsung,299,20,4.5
211,Galaxy Watch 7,Smartwatch,Samsung,349,18,4.7
212,Galaxy Watch Ultra,Smartwatch,Samsung,649,10,4.8
213,Pixel Watch 2,Smartwatch,Google,299,15,4.5
214,Pixel Watch 3,Smartwatch,Google,349,12,4.7
215,Huawei Watch GT 4,Smartwatch,Huawei,249,18,4.5
216,Huawei Watch GT 5,Smartwatch,Huawei,299,15,4.6
217,Sony WH-1000XM4,Headphones,Sony,249,20,4.7
218,Sony WH-1000XM5,Headphones,Sony,349,15,4.8
219,Sony WH-1000XM6,Headphones,Sony,399,12,4.9
220,AirPods Max,Headphones,Apple,549,10,4.8
221,Bose QuietComfort,Headphones,Bose,299,18,4.6
222,Bose QuietComfort Ultra,Headphones,Bose,429,12,4.8
223,JBL Tune 760NC,Headphones,JBL,99,30,4.3
224,JBL Live 660NC,Headphones,JBL,149,25,4.4
225,JBL Tour One,Headphones,JBL,299,15,4.6
226,AirPods 3,Earbuds,Apple,169,30,4.6
227,AirPods 4,Earbuds,Apple,179,28,4.7
228,AirPods Pro 2,Earbuds,Apple,249,25,4.8
229,Galaxy Buds 2,Earbuds,Samsung,99,30,4.4
230,Galaxy Buds 2 Pro,Earbuds,Samsung,149,25,4.6
231,Galaxy Buds 3,Earbuds,Samsung,179,22,4.7
232,Galaxy Buds 3 Pro,Earbuds,Samsung,249,18,4.8
233,Sony WF-1000XM4,Earbuds,Sony,199,15,4.7
234,Sony WF-1000XM5,Earbuds,Sony,299,12,4.8
235,Pixel Buds Pro,Earbuds,Google,199,15,4.6
236,Pixel Buds Pro 2,Earbuds,Google,229,12,4.7
237,MagSafe Charger,Accessories,Apple,39,50,4.5
238,Apple Pencil,Accessories,Apple,99,35,4.6
239,Apple Pencil Pro,Accessories,Apple,129,25,4.8
240,Samsung 45W Charger,Accessories,Samsung,49,40,4.5
241,Samsung Wireless Charger,Accessories,Samsung,59,35,4.4
242,Logitech MX Master 3S,Accessories,Logitech,99,25,4.8
243,Logitech MX Anywhere 3,Accessories,Logitech,79,30,4.6
244,Logitech K380 Keyboard,Accessories,Logitech,49,40,4.5
245,Anker PowerCore 20K,Accessories,Anker,49,40,4.7
246,Anker 65W Charger,Accessories,Anker,59,35,4.8
247,Anker USB-C Hub,Accessories,Anker,39,30,4.6
248,iPhone 12,Smartphone,Apple,499,18,4.5
249,iPhone 12 Pro,Smartphone,Apple,599,14,4.6
250,iPhone 12 Pro Max,Smartphone,Apple,699,10,4.7
251,iPhone SE 2022,Smartphone,Apple,429,22,4.4
252,iPhone 11,Smartphone,Apple,399,20,4.4
253,Galaxy A05,Smartphone,Samsung,129,45,4.1
254,Galaxy A05s,Smartphone,Samsung,149,40,4.2
255,Galaxy A14,Smartphone,Samsung,179,35,4.2
256,Galaxy A24,Smartphone,Samsung,249,32,4.3
257,Galaxy A34,Smartphone,Samsung,349,28,4.4
258,Galaxy A54,Smartphone,Samsung,399,25,4.5
259,Galaxy S21,Smartphone,Samsung,499,18,4.4
260,Galaxy S21 Plus,Smartphone,Samsung,599,15,4.5
261,Galaxy S21 Ultra,Smartphone,Samsung,699,10,4.7
262,Galaxy S20 FE,Smartphone,Samsung,399,20,4.4
263,Galaxy Z Flip 4,Smartphone,Samsung,899,12,4.5
264,Galaxy Z Fold 4,Smartphone,Samsung,1499,7,4.6
265,Pixel 5,Smartphone,Google,399,15,4.3
266,Pixel 5a,Smartphone,Google,349,18,4.2
267,Pixel 6a,Smartphone,Google,399,25,4.5
268,Pixel 7a,Smartphone,Google,449,22,4.6
269,Pixel 8a,Smartphone,Google,499,20,4.7
270,Xiaomi 11T,Smartphone,Xiaomi,399,25,4.3
271,Xiaomi 11T Pro,Smartphone,Xiaomi,499,20,4.4
272,Xiaomi 12T,Smartphone,Xiaomi,499,22,4.5
273,Xiaomi 12T Pro,Smartphone,Xiaomi,599,18,4.6
274,Xiaomi 13T,Smartphone,Xiaomi,549,25,4.6
275,Xiaomi 13T Pro,Smartphone,Xiaomi,699,20,4.7
276,Xiaomi Poco F4,Smartphone,Xiaomi,349,30,4.4
277,Xiaomi Poco F5,Smartphone,Xiaomi,449,25,4.6
278,Xiaomi Poco F6,Smartphone,Xiaomi,499,28,4.7
279,Xiaomi Poco X5,Smartphone,Xiaomi,299,35,4.3
280,Xiaomi Poco X6,Smartphone,Xiaomi,349,30,4.5
281,Redmi Note 10,Smartphone,Redmi,199,40,4.2
282,Redmi Note 10 Pro,Smartphone,Redmi,249,35,4.4
283,Redmi Note 11,Smartphone,Redmi,219,40,4.2
284,Redmi Note 11 Pro,Smartphone,Redmi,299,32,4.4
285,Redmi Note 12S,Smartphone,Redmi,229,38,4.3
286,Redmi Note 13 5G,Smartphone,Redmi,299,35,4.5
287,Redmi Note 13 Pro 5G,Smartphone,Redmi,399,28,4.6
288,Redmi Note 14 5G,Smartphone,Redmi,329,30,4.5
289,OnePlus 8T,Smartphone,OnePlus,399,15,4.3
290,OnePlus 9,Smartphone,OnePlus,449,18,4.4
291,OnePlus 9 Pro,Smartphone,OnePlus,549,12,4.5
292,OnePlus 10T,Smartphone,OnePlus,499,20,4.5
293,OnePlus Nord 2,Smartphone,OnePlus,299,30,4.3
294,OnePlus Nord 3,Smartphone,OnePlus,399,28,4.5
295,OnePlus Nord 4,Smartphone,OnePlus,449,25,4.6
296,OPPO Find X3 Pro,Smartphone,OPPO,699,10,4.5
297,OPPO Find X5,Smartphone,OPPO,599,15,4.4
298,OPPO Find X6,Smartphone,OPPO,699,12,4.6
299,OPPO Find X7,Smartphone,OPPO,799,10,4.7
300,OPPO Reno 7,Smartphone,OPPO,349,25,4.3
301,OPPO Reno 8 Pro,Smartphone,OPPO,499,20,4.5
302,OPPO Reno 9 Pro,Smartphone,OPPO,549,18,4.5
303,OPPO Reno 10 Pro,Smartphone,OPPO,599,15,4.6
304,OPPO Reno 12 Pro,Smartphone,OPPO,699,15,4.7
305,vivo X70 Pro,Smartphone,vivo,699,12,4.4
306,vivo X80,Smartphone,vivo,599,18,4.5
307,vivo X90,Smartphone,vivo,699,15,4.6
308,vivo X100,Smartphone,vivo,799,15,4.7
309,vivo X100 Ultra,Smartphone,vivo,1099,8,4.9
310,vivo X200,Smartphone,vivo,899,12,4.8
311,vivo V25,Smartphone,vivo,349,25,4.3
312,vivo V27 Pro,Smartphone,vivo,449,22,4.5
313,vivo V29 Pro,Smartphone,vivo,499,20,4.6
314,vivo V30 Pro,Smartphone,vivo,599,18,4.7
315,Huawei P40,Smartphone,Huawei,399,15,4.2
316,Huawei P40 Pro,Smartphone,Huawei,499,12,4.4
317,Huawei P50,Smartphone,Huawei,599,15,4.3
318,Huawei P50 Pro,Smartphone,Huawei,699,10,4.5
319,Huawei Mate 40 Pro,Smartphone,Huawei,699,10,4.4
320,Huawei Mate 50,Smartphone,Huawei,799,12,4.5
321,Huawei Nova 9,Smartphone,Huawei,349,20,4.2
322,Huawei Nova 10,Smartphone,Huawei,399,18,4.3
323,Huawei Nova 11,Smartphone,Huawei,449,20,4.5
324,Huawei Nova 12,Smartphone,Huawei,499,18,4.6
325,Honor 50,Smartphone,Honor,299,25,4.2
326,Honor 70,Smartphone,Honor,349,22,4.4
327,Honor 80,Smartphone,Honor,399,25,4.5
328,Honor 90,Smartphone,Honor,449,20,4.6
329,Honor 100,Smartphone,Honor,499,18,4.6
330,Honor 200 Pro,Smartphone,Honor,599,15,4.7
331,Honor Magic 4 Pro,Smartphone,Honor,699,10,4.5
332,Honor Magic 5,Smartphone,Honor,699,12,4.6
333,Honor Magic 6,Smartphone,Honor,799,12,4.7
334,Motorola Moto G50,Smartphone,Motorola,199,35,4.1
335,Motorola Moto G60,Smartphone,Motorola,249,30,4.2
336,Motorola Moto G73,Smartphone,Motorola,299,28,4.3
337,Motorola Moto G84,Smartphone,Motorola,349,30,4.4
338,Motorola Moto G85,Smartphone,Motorola,399,25,4.5
339,Motorola Edge 20,Smartphone,Motorola,399,18,4.3
340,Motorola Edge 30 Pro,Smartphone,Motorola,599,15,4.5
341,Motorola Edge 40 Pro,Smartphone,Motorola,699,12,4.6
342,Motorola Edge 50,Smartphone,Motorola,499,20,4.5
343,Motorola Edge 50 Neo,Smartphone,Motorola,549,18,4.6
344,Sony Xperia 5 III,Smartphone,Sony,699,8,4.2
345,Sony Xperia 5 IV,Smartphone,Sony,799,10,4.4
346,Sony Xperia 5 V,Smartphone,Sony,899,8,4.5
347,Sony Xperia 10 III,Smartphone,Sony,349,15,4.1
348,Sony Xperia 10 IV,Smartphone,Sony,399,18,4.2
349,Sony Xperia 10 V,Smartphone,Sony,449,15,4.3
350,Nothing Phone 1,Smartphone,Nothing,399,20,4.4
351,Nothing Phone 2,Smartphone,Nothing,599,18,4.6
352,Nothing Phone 2a,Smartphone,Nothing,349,25,4.5
353,Nothing Phone 2a Plus,Smartphone,Nothing,399,20,4.6
354,Realme 9 Pro,Smartphone,Realme,299,30,4.2
355,Realme 10 Pro,Smartphone,Realme,299,28,4.3
356,Realme 12 Pro,Smartphone,Realme,399,25,4.5
357,Realme GT Neo 3,Smartphone,Realme,399,20,4.4
358,Realme GT Neo 5,Smartphone,Realme,499,18,4.6
359,Realme GT 5 Pro,Smartphone,Realme,699,15,4.7
360,Infinix Hot 12,Smartphone,Infinix,149,40,4.0
361,Infinix Hot 20,Smartphone,Infinix,169,38,4.1
362,Infinix Hot 30,Smartphone,Infinix,179,40,4.2
363,Infinix Hot 40,Smartphone,Infinix,199,35,4.3
364,Infinix Note 12,Smartphone,Infinix,199,35,4.2
365,Infinix Note 30,Smartphone,Infinix,229,35,4.3
366,Infinix Note 40,Smartphone,Infinix,249,30,4.4
367,Infinix GT 10 Pro,Smartphone,Infinix,299,25,4.4
368,Infinix GT 20 Pro,Smartphone,Infinix,349,28,4.6
369,Tecno Spark 10,Smartphone,Tecno,149,40,4.0
370,Tecno Spark 20,Smartphone,Tecno,169,38,4.1
371,Tecno Spark 20 Pro,Smartphone,Tecno,199,35,4.2
372,Tecno Camon 19,Smartphone,Tecno,199,30,4.1
373,Tecno Camon 20,Smartphone,Tecno,229,32,4.3
374,Tecno Camon 30,Smartphone,Tecno,279,30,4.5
375,Tecno Camon 30 Pro,Smartphone,Tecno,349,25,4.6
376,ASUS ROG Phone 5,Smartphone,ASUS,699,10,4.4
377,ASUS ROG Phone 6,Smartphone,ASUS,799,12,4.5
378,ASUS ROG Phone 7,Smartphone,ASUS,899,10,4.7
379,ASUS ROG Phone 8,Smartphone,ASUS,1099,8,4.8
380,ASUS ROG Phone 9,Smartphone,ASUS,1199,7,4.9
381,ASUS Zenfone 8,Smartphone,ASUS,599,10,4.3
382,ZTE Axon 30,Smartphone,ZTE,399,15,4.2
383,ZTE Axon 40,Smartphone,ZTE,499,15,4.3
384,ZTE Axon 40 Ultra,Smartphone,ZTE,599,10,4.5
385,ZTE Axon 50 Ultra,Smartphone,ZTE,699,10,4.6
386,ZTE Axon 60 Ultra,Smartphone,ZTE,799,8,4.7
387,Galaxy Tab A7,Tablet,Samsung,179,25,4.2
388,Galaxy Tab A8,Tablet,Samsung,199,30,4.3
389,Galaxy Tab A9 Plus,Tablet,Samsung,249,25,4.4
390,Galaxy Tab S7,Tablet,Samsung,499,15,4.5
391,Galaxy Tab S8 Plus,Tablet,Samsung,799,12,4.6
392,Galaxy Tab S8 Ultra,Tablet,Samsung,999,8,4.8
393,Galaxy Tab S9 FE,Tablet,Samsung,449,20,4.5
394,Galaxy Tab S10 Plus,Tablet,Samsung,999,10,4.8
395,Galaxy Tab S10 Ultra,Tablet,Samsung,1199,7,4.9
396,iPad 9,Tablet,Apple,329,20,4.5
397,iPad 10,Tablet,Apple,449,25,4.6
398,iPad Air 4,Tablet,Apple,499,15,4.5
399,iPad Air 5,Tablet,Apple,599,18,4.7
400,iPad Mini 6,Tablet,Apple,499,12,4.6
401,iPad Pro 11 M2,Tablet,Apple,899,10,4.8
402,iPad Pro 12.9 M2,Tablet,Apple,1099,8,4.9
403,iPad Pro 11 M4,Tablet,Apple,999,10,4.9
404,iPad Pro 13 M4,Tablet,Apple,1299,7,4.9
405,Xiaomi Pad 5,Tablet,Xiaomi,299,20,4.4
406,Xiaomi Pad 6,Tablet,Xiaomi,399,25,4.6
407,Xiaomi Pad 6 Pro,Tablet,Xiaomi,499,18,4.7
408,Xiaomi Pad 7,Tablet,Xiaomi,549,20,4.8
409,Lenovo Tab M8,Tablet,Lenovo,129,30,4.1
410,Lenovo Tab M10,Tablet,Lenovo,179,28,4.2
411,Lenovo Tab M11,Tablet,Lenovo,249,25,4.4
412,Lenovo Tab P11,Tablet,Lenovo,349,20,4.5
413,Amazon Fire HD 10,Tablet,Amazon,149,35,4.3
414,Amazon Fire Max 11,Tablet,Amazon,229,25,4.4
415,Apple Watch Series 7,Smartwatch,Apple,299,12,4.5
416,Apple Watch Series 8,Smartwatch,Apple,349,15,4.6
417,Apple Watch Ultra,Smartwatch,Apple,699,8,4.7
418,Apple Watch Ultra 2,Smartwatch,Apple,799,10,4.9
419,Galaxy Watch 4,Smartwatch,Samsung,199,20,4.3
420,Galaxy Watch 5,Smartwatch,Samsung,249,20,4.4
421,Galaxy Watch 6,Smartwatch,Samsung,299,25,4.6
422,Galaxy Watch 6 Classic,Smartwatch,Samsung,349,15,4.7
423,Galaxy Watch 7,Smartwatch,Samsung,349,18,4.8
424,Pixel Watch,Smartwatch,Google,249,15,4.4
425,Pixel Watch 2,Smartwatch,Google,299,15,4.6
426,Pixel Watch 3,Smartwatch,Google,349,12,4.8
427,Huawei Watch GT 3,Smartwatch,Huawei,199,20,4.4
428,Huawei Watch GT 4,Smartwatch,Huawei,249,18,4.6
429,Huawei Watch GT 5,Smartwatch,Huawei,299,15,4.7
430,Garmin Venu 2,Smartwatch,Garmin,349,10,4.6
431,Garmin Venu 3,Smartwatch,Garmin,449,8,4.8
432,Garmin Forerunner 255,Smartwatch,Garmin,299,12,4.7
433,Garmin Fenix 7,Smartwatch,Garmin,699,6,4.8
434,Sony WH-1000XM3,Headphones,Sony,199,20,4.5
435,Sony WH-1000XM4,Headphones,Sony,249,25,4.7
436,Sony WH-1000XM5,Headphones,Sony,349,20,4.8
437,Sony WH-1000XM6,Headphones,Sony,399,15,4.9
438,Sony WH-CH710N,Headphones,Sony,129,30,4.3
439,Sony WH-CH720N,Headphones,Sony,149,30,4.5
440,Bose QuietComfort 35,Headphones,Bose,199,15,4.5
441,Bose QuietComfort 45,Headphones,Bose,249,18,4.6
442,JBL Tune 510BT,Headphones,JBL,49,40,4.2
